movie,year,genre,imdb,douban,region
Sseo-ni,2011,"Comedy, Drama",7.9,8.8,South Korea
Identity,2003,"Mystery, Thriller",7.3,8.6,USA
Cidade de Deus,2002,"Crime, Drama",8.6,8.9,Brazil
The Grand Budapest Hotel,2014,"Adventure, Comedy, Drama",8.1,8.7,USA
Kokuhaku,2010,"Drama, Thriller",7.8,8.7,Japan
Brokeback Mountain,2005,"Drama, Romance",7.7,8.6,USA
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Action, Adventure, Fantasy",8.0,8.6,USA
Harry Potter and the Sorcerer's Stone,2001,"Adventure, Family, Fantasy",7.6,8.7,UK
Catch Me If You Can,2002,"Biography, Crime, Drama",8.1,8.7,USA
Modern Times,1936,"Comedy, Drama, Family",8.5,9.2,USA
Before Sunrise,1995,"Drama, Romance",8.1,8.7,USA
Avatar,2009,"Action, Adventure, Fantasy",7.8,8.6,UK
The Boy in the Striped Pyjamas,2008,"Drama, War",7.8,8.9,UK
Kaze no tani no Naushika,1984,"Animation, Adventure, Fantasy",8.1,8.8,Japan
Before Sunset,2004,"Drama, Romance",8.0,8.7,USA
Gone Girl,2014,"Crime, Drama, Mystery",8.1,8.7,USA
Mimi wo sumaseba,1995,"Animation, Drama, Family",8.0,8.8,Japan
Hotaru no haka,1988,"Animation, Drama, War",8.5,8.7,Japan
Detachment,2011,Drama,7.7,8.8,USA
How to Train Your Dragon,2010,"Animation, Adventure, Comedy",8.1,8.7,USA
Sien nui yau wan,1987,"Action, Comedy, Fantasy",7.6,8.6,Hong Kong
Papurika,2006,"Animation, Adventure, Crime",7.7,8.9,Japan
Deu tae-ro ra-i-beu,2013,"Action, Crime, Thriller",7.2,8.7,South Korea
Kikujirô no natsu,1999,"Drama, Comedy",7.9,8.7,Japan
The Terminal,2004,"Comedy, Drama, Romance",7.3,8.6,USA
Shichinin no samurai,1954,"Adventure, Drama",8.7,9.2,Japan
Sui yuet san tau,2010,"Comedy, Drama, Romance",7.4,8.6,Hong Kong
Océans,2009,"Documentary, Drama",7.8,9.0,France
Despicable Me,2010,"Animation, Adventure, Comedy",7.7,8.5,USA
Kari-gurashi no Arietti,2010,"Animation, Adventure, Family",7.6,8.7,Japan
Love Actually,2003,"Comedy, Drama, Romance",7.6,8.5,UK
The Bourne Ultimatum,2007,"Action, Mystery, Thriller",8.1,8.7,USA
Slumdog Millionaire,2008,Drama,8.0,8.5,UK
Rain Man,1988,Drama,8.0,8.6,USA
Little Forest: Summer/Autumn,2014,Drama,7.8,8.9,Japan
Dung che sai duk,1994,"Action, Drama",7.2,8.6,Hong Kong
Hei kek ji wong,1999,"Comedy, Drama, Romance",7.3,8.5,Hong Kong
Memento,2000,"Mystery, Thriller",8.5,8.5,USA
Legends of the Fall,1994,"Drama, Romance, War",7.5,8.7,USA
Xi yan,1993,"Comedy, Drama, Romance",7.7,8.8,Taiwan
"Monsters, Inc.",2001,"Animation, Adventure, Comedy",8.1,8.6,USA
The Croods,2013,"Animation, Adventure, Comedy",7.2,8.7,USA
La grande vadrouille,1966,"Comedy, War",8.0,8.9,France
Black Swan,2010,"Drama, Thriller",8.0,8.5,USA
Hotel Rwanda,2004,"Biography, Drama, History",8.1,8.8,UK
Ying hung boon sik,1986,"Action, Crime, Drama",7.6,8.6,Hong Kong
The Notebook,2004,"Drama, Romance",7.9,8.5,USA
Trainspotting,1996,Drama,8.2,8.5,UK
Toki o kakeru shôjo,2006,"Animation, Adventure, Comedy",7.8,8.6,Japan
Waterloo Bridge,1940,"Drama, Romance, War",7.8,8.8,USA
Pride & Prejudice,2005,"Drama, Romance",7.8,8.4,France
Singin' in the Rain,1952,"Comedy, Musical, Romance",8.3,8.9,USA
The Godfather: Part III,1990,"Crime, Drama",7.6,8.8,USA
A Perfect World,1993,"Crime, Drama, Thriller",7.5,9.0,USA
Zong heng si hai,1991,"Action, Comedy, Crime",6.8,8.7,Hong Kong
Toy Story 3,2010,"Animation, Adventure, Comedy",8.3,8.8,USA
Hotarubi no mori e,2011,"Animation, Drama, Fantasy",8.0,8.7,Japan
7-beon-bang-ui seon-mul,2013,"Comedy, Drama",8.2,8.7,South Korea
Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure, Drama, Fantasy",8.1,8.6,USA
Manchester by the Sea,2016,Drama,7.9,8.6,USA
Faa yeung nin wa,2000,"Drama, Romance",8.1,8.5,Hong Kong
Dangal,2016,"Action, Biography, Drama",8.6,9.1,India
Relatos salvajes,2014,"Comedy, Drama, Thriller",8.1,8.7,Argentina
Twenty Two,2015,"Documentary, Crime, History",7.6,8.8,China
I Am Sam,2001,Drama,7.6,8.8,USA
Little Forest: Winter/Spring,2015,Drama,7.7,8.9,Japan
Artificial Intelligence: AI,2001,"Adventure, Drama, Sci-Fi",7.1,8.6,USA
Die Welle,2008,"Drama, Thriller",7.6,8.7,Germany
Ice Age,2002,"Animation, Adventure, Comedy",7.6,8.4,USA
Perfume: The Story of a Murderer,2006,"Crime, Drama, Fantasy",7.5,8.4,Germany
About Time,2013,"Comedy, Drama, Fantasy",7.8,8.6,UK
Tang Bohu dian Qiuxiang,1993,"Comedy, Romance",7.6,8.4,Hong Kong
The Reader,2008,"Drama, Romance",7.6,8.5,USA
Big Hero 6,2014,"Animation, Action, Adventure",7.8,8.6,USA
Following,1998,"Crime, Mystery, Thriller",7.6,8.9,UK
Xin mi gong,2014,"Drama, Mystery",7.8,8.6,China
The Dark Knight Rises,2012,"Action, Thriller",8.4,8.5,UK
Crash,2004,"Crime, Drama, Thriller",7.8,8.6,USA
Rashômon,1950,"Crime, Drama, Mystery",8.3,8.7,Japan
Jodaeiye Nader az Simin,2011,"Drama, Mystery",8.4,8.7,Iran
Lord of War,2005,"Crime, Drama, Thriller",7.6,8.5,USA
Kekexili,2004,"Action, Drama",7.7,8.7,China
Pâfekuto burû,1997,"Animation, Horror, Mystery",7.9,8.8,Japan
Requiem for a Dream,2000,Drama,8.3,8.7,USA
Whiplash,2014,"Drama, Music",8.5,8.6,USA
Taare Zameen Par,2007,"Drama, Family",8.5,8.8,India
Triangle,2009,"Fantasy, Mystery, Thriller",6.9,8.3,UK
Le grand bleu,1988,"Adventure, Drama, Sport",7.6,8.7,France
Dallas Buyers Club,2013,"Biography, Drama",8.0,8.6,USA
Ah fei zing zyun,1990,"Crime, Drama, Romance",7.6,8.5,Hong Kong
Gu ling jie shao nian sha ren shi jian,1991,"Crime, Drama, Romance",8.4,8.7,Taiwan
