movie,year,genre,imdb,douban,region
Singin' in the Rain,1952,"Comedy, Musical, Romance",8.3,8.9,USA
2001: A Space Odyssey,1968,"Adventure, Sci-Fi",8.3,8.6,UK
3 Idiots,2009,"Comedy, Drama",8.4,9.1,India
Toy Story,1995,"Animation, Adventure, Comedy",8.3,8.2,USA
The Sting,1973,"Comedy, Crime, Drama",8.3,8.7,USA
Toy Story 3,2010,"Animation, Adventure, Comedy",8.3,8.8,USA
Inglourious Basterds,2009,"Adventure, Drama, War",8.3,8.4,USA
Ladri di biciclette,1948,Drama,8.3,8.9,Italy
The Kid,1921,"Comedy, Drama, Family",8.3,9.1,USA
Snatch,2000,"Comedy, Crime",8.3,8.5,UK
Monty Python and the Holy Grail,1975,"Adventure, Comedy, Fantasy",8.3,7.9,UK
Good Will Hunting,1997,Drama,8.3,8.8,USA
Jagten,2012,Drama,8.3,9,Denmark
Per qualche dollaro in più,1965,Western,8.3,8.7,Italy
Scarface,1983,"Crime, Drama",8.3,8.2,USA
L.A. Confidential,1997,"Crime, Drama, Mystery",8.3,8.6,USA
The Apartment,1960,"Comedy, Drama, Romance",8.3,8.7,USA
Metropolis,1927,"Drama, Sci-Fi",8.3,8.9,Germany
Jodaeiye Nader az Simin,2011,"Drama, Mystery",8.4,8.7,Iran
Rashômon,1950,"Crime, Drama, Mystery",8.3,8.7,Japan
Indiana Jones and the Last Crusade,1989,"Action, Adventure, Fantasy",8.3,8.1,USA
Yôjinbô,1961,"Action, Drama, Thriller",8.3,8.8,Japan
All About Eve,1950,Drama,8.3,8.6,USA
Up,2009,"Animation, Adventure, Comedy",8.3,8.9,USA
Babam ve Oglum,2005,Drama,8.5,9,Turkey
Batman Begins,2005,"Action, Adventure, Thriller",8.3,8.2,USA
Some Like It Hot,1959,"Comedy, Romance",8.3,8.8,USA
The Treasure of the Sierra Madre,1948,"Adventure, Drama, Western",8.3,8.6,USA
Unforgiven,1992,"Drama, Western",8.2,8.4,USA
Der Untergang,2004,"Biography, Drama, History",8.2,8.6,Germany
Die Hard,1988,"Action, Thriller",8.2,8.1,USA
Heat,1995,"Action, Crime, Drama",8.2,8.4,USA
Raging Bull,1980,"Biography, Drama, Sport",8.2,8.3,USA
Bacheha-Ye aseman,1997,"Drama, Family",8.4,9.2,Iran
The Third Man,1949,"Film-Noir, Mystery, Thriller",8.2,8.3,UK
The Great Escape,1963,"Adventure, Drama, History",8.2,8.4,USA
Ikiru,1952,Drama,8.3,9,Japan
Chinatown,1974,"Drama, Mystery, Thriller",8.2,8.3,USA
Pan's Labyrinth,2006,"Drama, Fantasy, War",8.2,7.8,Spain
Incendies,2010,"Drama, Mystery, War",8.2,8.6,Canada
Tonari no Totoro,1988,"Animation, Family, Fantasy",8.2,9.1,Japan
Ran,1985,"Action, Drama",8.2,8.8,Japan
Judgment at Nuremberg,1961,"Drama, War",8.3,9,USA
The Gold Rush,1925,"Adventure, Comedy, Drama",8.2,9,USA
El secreto de sus ojos,2009,"Drama, Mystery, Romance",8.2,8.3,Argentina
Hauru no ugoku shiro,2004,"Animation, Adventure, Family",8.2,8.9,Japan
Inside Out,2015,"Animation, Adventure, Comedy",8.2,8.7,USA
The Bridge on the River Kwai,1957,"Adventure, Drama, War",8.2,8.3,UK
On the Waterfront,1954,"Crime, Drama, Thriller",8.2,7.9,USA
Det sjunde inseglet,1957,"Drama, Fantasy",8.2,8.3,Sweden
Room,2015,Drama,8.2,8.8,Ireland
"Lock, Stock and Two Smoking Barrels",1998,"Comedy, Crime",8.2,9.1,UK
Mr. Smith Goes to Washington,1939,"Comedy, Drama",8.2,8.7,USA
A Beautiful Mind,2001,"Biography, Drama",8.2,8.9,USA
Casino,1995,"Crime, Drama",8.2,8.2,France
Blade Runner,1982,"Sci-Fi, Thriller",8.2,8.2,USA
The Elephant Man,1980,"Biography, Drama",8.2,8.1,USA
V for Vendetta,2005,"Action, Drama, Sci-Fi",8.2,8.8,USA
The Wolf of Wall Street,2013,"Biography, Comedy, Crime",8.2,7.6,USA
Smultronstället,1957,"Drama, Romance",8.2,8.7,Sweden
The General,1926,"Action, Adventure, Comedy",8.2,9,USA
Warrior,2011,"Drama, Sport",8.2,8.9,USA
Dial M for Murder,1954,"Crime, Film-Noir, Thriller",8.2,8.6,USA
Trainspotting,1996,Drama,8.2,8.5,UK
Gran Torino,2008,Drama,8.2,8.6,Germany
Gone with the Wind,1939,"Drama, History, Romance",8.2,9.2,USA
The Deer Hunter,1978,"Drama, War",8.2,8.4,USA
The Sixth Sense,1999,"Drama, Mystery, Thriller",8.1,8.8,USA
Fargo,1996,"Crime, Drama, Thriller",8.1,7.9,USA
No Country for Old Men,2007,"Crime, Drama, Thriller",8.1,8,USA
Sunrise: A Song of Two Humans,1927,"Drama, Romance",8.2,8.8,USA
The Thing,1982,"Horror, Mystery, Sci-Fi",8.2,7.8,USA
Finding Nemo,2003,"Animation, Adventure, Comedy",8.1,8.2,USA
The Big Lebowski,1998,"Comedy, Crime",8.2,7.6,USA
Eskiya,1996,"Crime, Drama, Thriller",8.4,6.9,Turkey
There Will Be Blood,2007,"Drama, History",8.1,8.1,USA
Tôkyô monogatari,1953,Drama,8.2,9.2,Japan
Andrei Rublev,1966,"Biography, Drama, History",8.3,8.9,Soviet Union
Cool Hand Luke,1967,"Crime, Drama",8.2,8.1,USA
Idi i smotri,1985,"Drama, War",8.2,8.4,Soviet Union
Rebecca,1940,"Drama, Mystery, Romance",8.2,8.2,USA
Kill Bill: Vol. 1,2003,"Action, Crime, Thriller",8.1,8.1,USA
Hacksaw Ridge,2016,"Biography, Drama, History",8.2,8.7,Australia
How to Train Your Dragon,2010,"Animation, Adventure, Comedy",8.1,8.7,USA
